标题：历史成交
营业部名称：xchxwtyh8
期间：2025 - 05 - 16 至 2026 - 06 - 15
股东：衡祥安

------------------------------
成交日期	成交时间	证券代码	证券名称	操作	成交数量	成交价格	成交金额	股票余额	合同编号	成交编号	手续费	印花税	其他杂费	发生金额	备注	交易市场	佣金	过户费	后资金额	清算金额	委托日期	真实操作	
20260615	14:46:57	603039	泛微网络	证券卖出	-2100	49.200	103320.000	9900	387	75994182	8.270	51.660	1.030	103259.040	证券卖出	上海Ａ股	8.270	1.030	-190596.980	103259.040	20260615	0	
20260615	14:02:00	603039	泛微网络	证券买入	2000	48.770	97540.000	12000	346	65647702	7.800	0.000	0.970	-97548.770	证券买入	上海Ａ股	7.800	0.970	-293856.020	-97548.770	20260615	0	
20260615	14:01:52	002602	世纪华通	证券卖出	-7200	13.870	99864.000	0	345	0101000071151614	7.990	49.940	1.010	99805.060	证券卖出	深圳Ａ股	7.990	1.010	106055.890	99805.060	20260615	0	
20260615	13:10:43	603039	泛微网络	证券买入	1100	48.250	53075.000	10000	289	54840765	5.000	0.000	0.530	-53080.530	证券买入	上海Ａ股	5.000	0.530	-196307.250	-53080.530	20260615	0	
20260615	13:10:35	603039	泛微网络	证券买入	1000	48.330	48330.000	8900	291	54808876	5.000	0.000	0.480	-48335.480	证券买入	上海Ａ股	5.000	0.480	-143226.720	-48335.480	20260615	0	
20260615	13:08:05	603039	泛微网络	证券买入	1000	47.940	47940.000	7900	286	54235501	5.000	0.000	0.480	-47945.480	证券买入	上海Ａ股	5.000	0.480	-94891.240	-47945.480	20260615	0	
20260615	11:03:36	002602	世纪华通	证券卖出	-7100	14.090	100039.000	7200	254	0101000049551352	8.000	50.020	0.990	99979.990	证券卖出	深圳Ａ股	8.000	0.990	6250.830	99979.990	20260615	0	
20260615	10:45:38	603039	泛微网络	证券买入	1000	47.070	47070.000	6900	236	42332709	5.000	0.000	0.470	-47075.470	证券买入	上海Ａ股	5.000	0.470	-46945.760	-47075.470	20260615	0	
20260615	10:35:55	002407	多氟多	证券卖出	-2500	38.770	96925.000	0	227	0104000040458015	7.750	48.460	0.970	96867.820	证券卖出	深圳Ａ股	7.750	0.970	-93729.160	96867.820	20260615	0	
20260615	09:42:23	603039	泛微网络	证券买入	1200	47.040	56448.000	5900	58	14867721	5.000	0.000	0.570	-56453.570	证券买入	上海Ａ股	5.000	0.570	129.710	-56453.570	20260615	0	
