标题：历史成交
营业部名称：长沙-58
期间：2025 - 06 - 16 至 2026 - 06 - 15
股东：邱磊

------------------------------
成交日期	成交时间	证券代码	证券名称	操作	成交数量	成交均价	成交金额	合同编号	成交编号	印花税	其他杂费	发生金额	备注	交易市场	佣金	过户费	真实操作	
20260615	11:26:05	301428	世纪恒通	证券买入	4400	37.930	166892.000	635012128	0103000054655176	0.000	0.000	-166906.250	证券买入	深圳Ａ股	14.250	1.70	0	
20260615	11:17:37	300342	天银机电	证券卖出	-3400	49.850	169490.000	635011550	0102000050712816	84.750	0.000	169390.780	证券卖出	深圳Ａ股	14.470	1.69	0	
20260612	21:00:50	001399	惠科股份	申购配号	0	0.000	0.000	635000265	0	0.000	0.000	0.000	失败原因:因多个证券账户参与新股申购无效;错误号:B01	深圳Ａ股	0.000	0.00	-1	
20260612	10:48:58	002436	兴森科技	证券买入	3000	39.000	117000.000	635012393	0102000042737377	0.000	0.000	-117009.990	证券买入	深圳Ａ股	9.990	1.17	0	
20260612	10:48:47	301428	世纪恒通	证券卖出	-3000	38.210	114630.000	635012372	0101000045048492	57.310	0.000	114562.900	证券卖出	深圳Ａ股	9.790	1.14	0	
20260612	00:00:00	789797	臻宝配号	申购配号	18	0.000	0.000	635000264	0	0.000	0.000	0.000	100015780792	上海Ａ股	0.000	0.00	-1	
20260611	09:32:46	301428	世纪恒通	证券买入	3000	38.569	115707.000	635001733	0103000005212896	0.000	0.000	-115716.880	证券买入	深圳Ａ股	9.880	1.16	0	
20260611	09:32:32	002467	二六三	证券卖出	-22600	5.250	118650.000	635001680	0105000004758233	59.320	0.000	118580.550	证券卖出	深圳Ａ股	10.130	1.19	0	
20260610	10:27:45	688322	奥比中光	证券买入	1098	143.128	157154.840	635008090	31682348	0.000	0.000	-157169.830	证券买入	上海Ａ股	13.420	1.57	0	
20260610	10:01:41	300925	法本信息	证券卖出	-8200	19.128	156853.000	635006029	0103000024792012	78.440	0.000	156761.160	证券卖出	深圳Ａ股	13.400	1.55	0	
20260610	09:52:06	002467	二六三	证券买入	22600	5.510	124526.000	635004979	0104000020876067	0.000	0.000	-124536.630	证券买入	深圳Ａ股	10.630	1.25	0	
